Roll, Pitch, Yaw
-0.647486,0.146489,-1.34794
-0.656926,0.147714,-1.34942
-0.661974,0.143569,-1.35701
-0.664741,0.144971,-1.35567
-0.668491,0.152095,-1.34866
-0.672792,0.155527,-1.34641
-0.669892,0.154284,-1.34774
-0.67225,0.160405,-1.33858
-0.673828,0.158882,-1.34152
-0.668103,0.159424,-1.33746
-0.660132,0.161319,-1.3301
-0.668206,0.167568,-1.32554
-0.666533,0.175386,-1.31312
-0.667019,0.171043,-1.31981
-0.663574,0.167519,-1.32508
-0.661061,0.163607,-1.33058
-0.656085,0.16724,-1.32169
-0.64937,0.16337,-1.32504
-0.647466,0.159711,-1.32944
-0.643057,0.156815,-1.33414
-0.648821,0.155494,-1.33786
-0.656109,0.148362,-1.34953
-0.660969,0.143594,-1.35763
-0.657706,0.143575,-1.35705
-0.66557,0.14684,-1.35555
-0.661412,0.14857,-1.35263
-0.657747,0.146339,-1.35539
-0.646845,0.145579,-1.35157
-0.647785,0.144879,-1.35316
-0.651176,0.149263,-1.34931
-0.650046,0.144447,-1.35635
-0.652957,0.135424,-1.36929
-0.652128,0.139213,-1.36291
-0.6513,0.142208,-1.35747
-0.654234,0.133913,-1.37089
-0.657805,0.12804,-1.38015
-0.655466,0.128411,-1.37875
-0.657951,0.125404,-1.38474
-0.663491,0.127903,-1.38224
-0.665318,0.117917,-1.39586
-0.662658,0.120821,-1.39014
-0.665232,0.128052,-1.38263
-0.665651,0.130372,-1.37951
-0.665794,0.134612,-1.37269
-0.666021,0.137091,-1.37014
-0.655958,0.134969,-1.37037
-0.665491,0.13355,-1.37496
-0.663863,0.137983,-1.37009
-0.650106,0.128572,-1.3849
-0.649076,0.12912,-1.3801
-0.644239,0.136805,-1.3658
-0.647633,0.126143,-1.38307
-0.65711,0.131845,-1.3775
-0.662071,0.136815,-1.37082
-0.65793,0.133312,-1.37498
-0.668212,0.122521,-1.38945
-0.656967,0.122718,-1.38439
-0.645347,0.136374,-1.3573
-0.642256,0.13135,-1.36267
-0.640375,0.117859,-1.38366
-0.643464,0.12007,-1.38315
-0.655787,0.134134,-1.36977
-0.66247,0.15207,-1.35083
-0.66965,0.152891,-1.3532
-0.660368,0.141565,-1.3689
-0.652927,0.131467,-1.38369
-0.642811,0.138688,-1.36759
-0.633769,0.12844,-1.37818
-0.636168,0.127535,-1.38022
-0.640532,0.12969,-1.37988
-0.651579,0.131437,-1.37908
-0.653656,0.136272,-1.37328
-0.656716,0.139608,-1.36913
-0.652997,0.142143,-1.36161
-0.65319,0.139071,-1.36802
-0.644487,0.127753,-1.38651
-0.63729,0.123216,-1.38918
-0.634486,0.129917,-1.37818
-0.648108,0.123616,-1.38937
-0.658111,0.131587,-1.38115
-0.666457,0.147058,-1.36399
-0.668626,0.153412,-1.35661
-0.671747,0.155806,-1.35352
-0.663005,0.14885,-1.3621
-0.655192,0.148141,-1.35939
-0.655738,0.150839,-1.35466
-0.651072,0.15007,-1.35373
-0.659277,0.149855,-1.35528
-0.664026,0.162796,-1.33976
-0.670659,0.169757,-1.33293
-0.672715,0.174825,-1.32736
-0.674997,0.174563,-1.32908
-0.670721,0.165937,-1.33972
-0.665071,0.164802,-1.33966
-0.659542,0.164489,-1.33591
-0.655958,0.160914,-1.3393
-0.653615,0.165915,-1.33062
-0.661843,0.173431,-1.32259
-0.669347,0.175228,-1.32218
-0.67156,0.179409,-1.31781
-0.670978,0.180773,-1.31553
-0.670138,0.181566,-1.31337
-0.670762,0.176129,-1.322
-0.668403,0.17909,-1.3159
-0.666336,0.178009,-1.31575
-0.662784,0.180027,-1.31132
-0.6673,0.175492,-1.3181
-0.665158,0.177098,-1.31444
-0.670924,0.177205,-1.31698
-0.671013,0.176148,-1.31752
-0.667497,0.172439,-1.32205
-0.662616,0.166941,-1.329
-0.664666,0.162568,-1.33437
-0.662026,0.159052,-1.33795
-0.661362,0.148437,-1.35399
-0.661483,0.141776,-1.36326
-0.664741,0.147835,-1.35604
-0.670973,0.154871,-1.34896
-0.675086,0.159611,-1.34391
-0.671872,0.163489,-1.3366
-0.669465,0.164379,-1.33475
-0.667636,0.164607,-1.333
-0.655034,0.158963,-1.33771
-0.645893,0.150309,-1.35007
-0.645545,0.145489,-1.35629
-0.643235,0.151563,-1.34395
-0.646294,0.15898,-1.3359
-0.652993,0.161457,-1.33364
-0.656501,0.163371,-1.33187
-0.659917,0.166757,-1.32905
-0.652805,0.162369,-1.3323
-0.647608,0.156302,-1.33926
-0.644782,0.155105,-1.34008
-0.634692,0.154508,-1.3375
-0.634975,0.146927,-1.34804
-0.641068,0.150706,-1.34555
-0.647428,0.153707,-1.34264
-0.656221,0.158502,-1.33939
-0.665,0.162998,-1.33575
-0.662791,0.161337,-1.33686
-0.654539,0.153943,-1.34652
-0.643365,0.146969,-1.35486
-0.636042,0.136477,-1.3705
-0.634384,0.130516,-1.37828
-0.640642,0.124333,-1.38602
-0.646366,0.134702,-1.37343
-0.649759,0.143076,-1.3631
-0.646783,0.142645,-1.36252
-0.655656,0.146141,-1.35988
-0.646336,0.143549,-1.36004
-0.636254,0.137203,-1.36701
-0.634618,0.131796,-1.37499
-0.632635,0.133445,-1.37014
-0.632545,0.136918,-1.36351
-0.643675,0.141832,-1.36139
-0.650676,0.14145,-1.36374
-0.659528,0.145644,-1.36102
-0.664091,0.146961,-1.36031
-0.659618,0.153554,-1.34825
-0.656738,0.142725,-1.36423
-0.647463,0.140368,-1.36411
-0.644548,0.137569,-1.36594
-0.643572,0.147856,-1.35086
-0.647336,0.147161,-1.35278
-0.650267,0.147888,-1.35133
-0.6496,0.157509,-1.33767
-0.648882,0.158163,-1.33629
-0.64516,0.154319,-1.33972
-0.637876,0.148769,-1.34513
-0.641948,0.142157,-1.35511
-0.645241,0.141804,-1.3568
-0.64771,0.135613,-1.36529
-0.649071,0.135032,-1.36527
-0.654349,0.137034,-1.36374
-0.659149,0.143346,-1.35725
-0.659342,0.145428,-1.3549
-0.662072,0.146822,-1.35393
-0.662278,0.144824,-1.35796
-0.655636,0.137046,-1.36929
-0.651654,0.131104,-1.37768
-0.649237,0.127492,-1.38128
-0.653882,0.128519,-1.38141
-0.658461,0.132306,-1.37696
-0.660869,0.130016,-1.3801
-0.669592,0.130965,-1.38178
-0.666889,0.132688,-1.37726
-0.663629,0.132952,-1.37637
-0.658891,0.135097,-1.37108
-0.65089,0.131277,-1.3752
-0.65487,0.131035,-1.3751
-0.655809,0.131328,-1.37444
-0.665889,0.127736,-1.38076
-0.664284,0.130193,-1.37569
-0.671962,0.140322,-1.36531
-0.671232,0.145913,-1.35703
-0.670159,0.150675,-1.34922
-0.659921,0.151819,-1.34355
-0.646468,0.154889,-1.33167
-0.641725,0.148002,-1.3413
-0.637629,0.145965,-1.34438
-0.641603,0.148768,-1.34018
-0.638519,0.152038,-1.33433
-0.648963,0.155085,-1.33383
-0.64979,0.157943,-1.3312
-0.656433,0.15088,-1.34215
-0.650465,0.140862,-1.35845
-0.641662,0.132229,-1.36933
-0.636412,0.126059,-1.37737
-0.633725,0.12681,-1.37461
-0.632195,0.133311,-1.3639
-0.644586,0.133578,-1.36634
